 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   Order   RMSE1     E.TIME1     E.TIME2
       0     175.449     175.449      8.77484      8.77484       0 32.5159      35.619      35.619
       1     175.449     175.449      8.88047      8.88047       1 32.5492     40.4712     40.4712
       2     175.449     175.449      9.20304      9.20304       2 32.5051     43.5036     43.5036
       3     175.449     175.449      9.35619      9.35619       3   32.51     44.0175     44.0175
       4     175.449     175.449      9.55806      9.55806       4 32.4877     44.6322     44.6322
       5     171.404     171.404      9.82295      9.82295       5  32.513     45.1747     45.1747
       6     175.449     175.449      9.90075      9.90075       6  32.532     45.4492     45.4492
       7     171.468     171.468      10.0329      10.0329       7 32.5611     45.6001     45.6001
       8     171.468     171.468      10.0986      10.0986       8 32.5781     45.6753     45.6753
       9     171.468     171.468      10.1797      10.1797       9 32.5732     45.9276     45.9276
      10     173.726     173.726      10.2685      10.2685      10  32.587     46.7833     46.7833
      11     173.726     173.726      10.3148      10.3148      11 32.5874     46.3026     46.3026
      12     173.726     173.726      10.4067      10.4067      12 32.5945     49.5088     49.5088
      13     173.726     173.726      10.5291      10.5291      13 32.6448     47.3296     47.3296
      14     173.726     173.726      10.6078      10.6078      14  32.624     45.8591     45.8591
      15     173.726     173.726      10.6771      10.6771      15 32.6302     46.3562     46.3562
      16     173.726     173.726      10.7309      10.7309      16 32.6272     49.3086     49.3086
      17     173.726     173.726       10.797       10.797      17 32.6245     49.7955     49.7955
      18     173.726     173.726      10.9358      10.9358      18 32.6207     50.3849     50.3849
      19     173.726     173.726      11.0154      11.0154      19 32.6456     46.9108     46.9108
      20     167.229     167.229      11.0484      11.0484      20 32.6405     49.2341     49.2341
