 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   Order   RMSE1     E.TIME1     E.TIME2
       0     175.449     175.449      8.77484      8.77484       0 32.5169     35.6661     35.6661
       1     175.449     175.449      8.88047      8.88047       1 32.5502     44.1675     44.1675
       2     175.449     175.449      9.20304      9.20304       2 32.5061     45.3697     45.3697
       3     175.449     175.449      9.35619      9.35619       3 32.5109      49.237      49.237
       4     175.449     175.449      9.55806      9.55806       4 32.4886     49.9545     49.9545
       5     171.404     171.404      9.82295      9.82295       5  32.514     49.6698     49.6698
       6     175.449     175.449      9.90075      9.90075       6  32.533     50.5634     50.5634
       7     171.468     171.468      10.0329      10.0329       7 32.5621     49.0977     49.0977
       8     171.468     171.468      10.0986      10.0986       8 32.5791     51.8179     51.8179
       9     171.468     171.468      10.1797      10.1797       9 32.5742      50.154      50.154
      10     173.726     173.726      10.2685      10.2685      10  32.588     51.9569     51.9569
      11     173.726     173.726      10.3148      10.3148      11 32.5884     50.9938     50.9938
      12     173.726     173.726      10.4067      10.4067      12 32.5955     52.4489     52.4489
      13     173.726     173.726      10.5291      10.5291      13 32.6458     49.9389     49.9389
      14     173.726     173.726      10.6078      10.6078      14  32.625     49.7193     49.7193
      15     173.726     173.726      10.6771      10.6771      15 32.6312     50.9014     50.9014
      16     173.726     173.726      10.7309      10.7309      16 32.6282     50.8303     50.8303
      17     173.726     173.726       10.797       10.797      17 32.6255     50.8178     50.8178
      18     173.726     173.726      10.9358      10.9358      18 32.6217      51.422      51.422
      19     173.726     173.726      11.0154      11.0154      19 32.6466     50.9857     50.9857
      20     167.229     167.229      11.0484      11.0484      20 32.6415      51.455      51.455
