 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   Order   RMSE1     E.TIME1     E.TIME2
       0     175.449     175.449      8.77484      8.77484       0 32.5169     54.4945     54.4945
       1     175.449     175.449      8.88047      8.88047       1 32.5502     62.5505     62.5505
       2     175.449     175.449      9.20304      9.20304       2 32.5061     65.2676     65.2676
       3     175.449     175.449      9.35619      9.35619       3 32.5109     67.1508     67.1508
       4     175.449     175.449      9.55806      9.55806       4 32.4886     68.0661     68.0661
       5     171.404     171.404      9.82295      9.82295       5  32.514     68.8073     68.8073
       6     175.449     175.449      9.90075      9.90075       6  32.533     68.5637     68.5637
       7     171.468     171.468      10.0329      10.0329       7 32.5621     68.8529     68.8529
       8     171.468     171.468      10.0986      10.0986       8 32.5791     69.1015     69.1015
       9     171.468     171.468      10.1797      10.1797       9 32.5742     69.3215     69.3215
      10     173.726     173.726      10.2685      10.2685      10  32.588     69.6531     69.6531
      11     173.726     173.726      10.3148      10.3148      11 32.5884     69.7769     69.7769
      12     173.726     173.726      10.4067      10.4067      12 32.5955     70.1229     70.1229
      13     173.726     173.726      10.5291      10.5291      13 32.6458     70.1436     70.1436
      14     173.726     173.726      10.6078      10.6078      14  32.625     70.1728     70.1728
      15     173.726     173.726      10.6771      10.6771      15 32.6312     70.2332     70.2332
      16     173.726     173.726      10.7309      10.7309      16 32.6282     70.3625     70.3625
      17     173.726     173.726       10.797       10.797      17 32.6255     46.0715     46.0715
      18     173.726     173.726      10.9358      10.9358      18 32.6217     45.9421     45.9421
      19     173.726     173.726      11.0154      11.0154      19 32.6466     47.8874     47.8874
      20     167.229     167.229      11.0484      11.0484      20 32.6415     53.5204     53.5204
