 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0           0           0         -nan         -nan       0       0  2.5933e-05  1.3963e-05
       1           0           0         -nan         -nan       0       0  1.2927e-05  1.1498e-05
       2           0           0         -nan         -nan       0       0  1.2174e-05  1.2616e-05
       3           0           0         -nan         -nan       0       0  1.1674e-05    1.25e-05
       4           0           0         -nan         -nan       0       0   1.146e-05  1.2818e-05
       5           0           0         -nan         -nan       0       0  1.0828e-05  1.1196e-05
       6           0           0         -nan         -nan       0       0  1.1957e-05  1.2788e-05
       7           0           0         -nan         -nan       0       0  1.2136e-05  1.5716e-05
       8           0           0         -nan         -nan       0       0  1.2374e-05  1.1285e-05
       9           0           0         -nan         -nan       0       0  1.1374e-05  1.2864e-05
      10           0           0         -nan         -nan       0       0  1.2676e-05  1.2466e-05
      11           0           0         -nan         -nan       0       0   1.276e-05  1.1659e-05
      12           0           0         -nan         -nan       0       0  1.6414e-05  1.2654e-05
      13           0           0         -nan         -nan       0       0  1.1644e-05  1.2246e-05
      14           0           0         -nan         -nan       0       0  1.2154e-05  1.2253e-05
      15           0           0         -nan         -nan       0       0  1.2472e-05  1.2308e-05
      16           0           0         -nan         -nan       0       0  1.3075e-05  1.2546e-05
      17           0           0         -nan         -nan       0       0  1.2648e-05  1.1185e-05
      18           0           0         -nan         -nan       0       0  1.1557e-05  1.2194e-05
      19           0           0         -nan         -nan       0       0  1.1671e-05  1.2937e-05
      20           0           0         -nan         -nan       0       0  1.2073e-05  1.1418e-05
