 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0           0           0         -nan         -nan       0       0  4.4885e-05  1.3778e-05
       1           0           0         -nan         -nan       0       0  1.0235e-05    8.11e-06
       2           0           0         -nan         -nan       0       0   9.233e-06   7.942e-06
       3           0           0         -nan         -nan       0       0   6.986e-06   5.856e-06
       4           0           0         -nan         -nan       0       0  1.0187e-05   7.183e-06
       5           0           0         -nan         -nan       0       0  1.4015e-05  1.4541e-05
       6           0           0         -nan         -nan       0       0   1.623e-05  1.5934e-05
       7           0           0         -nan         -nan       0       0  1.6593e-05  2.5889e-05
       8           0           0         -nan         -nan       0       0  1.7766e-05  1.9268e-05
       9           0           0         -nan         -nan       0       0  1.3213e-05  2.1311e-05
      10           0           0         -nan         -nan       0       0  2.5207e-05  1.9555e-05
      11           0           0         -nan         -nan       0       0   1.941e-05  2.4844e-05
      12           0           0         -nan         -nan       0       0   1.436e-05  1.1455e-05
      13           0           0         -nan         -nan       0       0   1.491e-05  1.5671e-05
      14           0           0         -nan         -nan       0       0  1.5501e-05  1.6416e-05
      15           0           0         -nan         -nan       0       0   1.471e-05  1.5018e-05
      16           0           0         -nan         -nan       0       0  1.5677e-05   1.782e-05
      17           0           0         -nan         -nan       0       0  1.4112e-05  1.6637e-05
      18           0           0         -nan         -nan       0       0  1.5348e-05   1.554e-05
      19           0           0         -nan         -nan       0       0  1.5676e-05  1.6951e-05
      20           0           0         -nan         -nan       0       0  1.6176e-05  1.3006e-05
