 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0           0           0         -nan         -nan       0       0  3.5963e-05   1.662e-05
       1           0           0         -nan         -nan       0       0  1.6799e-05  2.2756e-05
       2           0           0         -nan         -nan       0       0  2.9272e-05   2.984e-05
       3           0           0         -nan         -nan       0       0  2.6667e-05  2.1814e-05
       4           0           0         -nan         -nan       0       0  2.1361e-05  2.8798e-05
       5           0           0         -nan         -nan       0       0  2.8722e-05  3.2863e-05
       6           0           0         -nan         -nan       0       0  1.5383e-05     1.5e-05
       7           0           0         -nan         -nan       0       0  1.4332e-05  1.4821e-05
       8           0           0         -nan         -nan       0       0  1.6719e-05  1.3801e-05
       9           0           0         -nan         -nan       0       0  1.5918e-05  1.7113e-05
      10           0           0         -nan         -nan       0       0  1.4722e-05   1.582e-05
      11           0           0         -nan         -nan       0       0  1.5387e-05  1.5505e-05
      12           0           0         -nan         -nan       0       0  1.5392e-05  1.6437e-05
      13           0           0         -nan         -nan       0       0  2.8741e-05  2.4269e-05
      14           0           0         -nan         -nan       0       0  2.0103e-05  1.2096e-05
      15           0           0         -nan         -nan       0       0  1.4238e-05  1.5127e-05
      16           0           0         -nan         -nan       0       0  1.4162e-05  1.4219e-05
      17           0           0         -nan         -nan       0       0  1.4024e-05  1.4727e-05
      18           0           0         -nan         -nan       0       0  1.3892e-05   1.434e-05
      19           0           0         -nan         -nan       0       0  1.3888e-05  1.4703e-05
      20           0           0         -nan         -nan       0       0  1.4326e-05  1.4533e-05
