 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0           0           0         -nan         -nan       0       0  2.8786e-05   9.611e-06
       1           0           0         -nan         -nan       0       0  1.5127e-05  1.5926e-05
       2           0           0         -nan         -nan       0       0  1.4835e-05  1.5372e-05
       3           0           0         -nan         -nan       0       0  1.2831e-05  1.4851e-05
       4           0           0         -nan         -nan       0       0  1.3572e-05  1.4953e-05
       5           0           0         -nan         -nan       0       0  1.4269e-05  1.2791e-05
       6           0           0         -nan         -nan       0       0  1.4846e-05  1.8084e-05
       7           0           0         -nan         -nan       0       0  1.3197e-05  1.5936e-05
       8           0           0         -nan         -nan       0       0  1.5263e-05  1.3501e-05
       9           0           0         -nan         -nan       0       0  1.1335e-05  1.2158e-05
      10           0           0         -nan         -nan       0       0  1.1795e-05  1.3325e-05
      11           0           0         -nan         -nan       0       0  1.3095e-05  1.2191e-05
      12           0           0         -nan         -nan       0       0  1.2463e-05  1.2991e-05
      13           0           0         -nan         -nan       0       0  1.3428e-05  1.3307e-05
      14           0           0         -nan         -nan       0       0  1.1084e-05  1.2805e-05
      15           0           0         -nan         -nan       0       0  1.1223e-05   1.379e-05
      16           0           0         -nan         -nan       0       0  1.2418e-05  1.3069e-05
      17           0           0         -nan         -nan       0       0  1.3925e-05  1.2012e-05
      18           0           0         -nan         -nan       0       0   1.304e-05  1.3694e-05
      19           0           0         -nan         -nan       0       0  1.2515e-05  1.2728e-05
      20           0           0         -nan         -nan       0       0   1.321e-05  1.3388e-05
