 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0     14.1969     14.1969      4.82471      4.82471       0       0  0.00108281 0.000947801
       1     14.1969     14.1969      4.82471      4.82471       0       0 0.000970123 0.000947933
       2     14.1969     14.1969      4.82471      4.82471       0       0 0.000971024 0.000989754
       3     14.1969     14.1969      4.82471      4.82471       0       0 0.000979913 0.000953099
       4     14.1969     14.1969      4.82471      4.82471       0       0 0.000946994 0.000976369
       5     14.1969     14.1969      4.82471      4.82471       0       0 0.000973471 0.000997595
       6     14.1969     14.1969      4.82471      4.82471       0       0 0.000970903  0.00098116
       7     14.1969     14.1969      4.82471      4.82471       0       0 0.000952121  0.00124744
       8     14.1969     14.1969      4.82471      4.82471       0       0  0.00101958 0.000984351
       9     14.1969     14.1969      4.82471      4.82471       0       0 0.000979411 0.000994022
      10     14.1969     14.1969      4.82471      4.82471       0       0  0.00112169 0.000999553
