 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0  0.00016955 0.000156372
       1 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000128283 0.000129878
       2 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000127019 0.000128202
       3 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000134164 0.000128243
       4 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000126081 0.000128568
       5 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000128006 0.000127859
       6 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000123537 0.000132227
       7 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000129617 0.000127354
       8 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000124248 0.000127256
       9 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0 0.000123208 0.000138764
      10 1.70755e-06 1.70755e-06      2.00758      2.00758       0       0  0.00013454 0.000138115
