 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0     14.1969     14.1969      4.82471      4.82471       0       0  0.00100407  0.00108455
       1     14.1969     14.1969      4.82471      4.82471       0       0  0.00104373 0.000975065
       2     14.1969     14.1969      4.82471      4.82471       0       0  0.00101782 0.000957067
       3     14.1969     14.1969      4.82471      4.82471       0       0  0.00100181   0.0009427
       4     14.1969     14.1969      4.82471      4.82471       0       0 0.000979355 0.000975239
       5     14.1969     14.1969      4.82471      4.82471       0       0 0.000970121  0.00100123
       6     14.1969     14.1969      4.82471      4.82471       0       0  0.00093955 0.000997262
       7     14.1969     14.1969      4.82471      4.82471       0       0  0.00097239  0.00100208
       8     14.1969     14.1969      4.82471      4.82471       0       0  0.00107477  0.00101283
       9     14.1969     14.1969      4.82471      4.82471       0       0 0.000972431  0.00098181
      10     14.1969     14.1969      4.82471      4.82471       0       0 0.000985949 0.000987177
